;id;name;image_path;type;region;country;winery;tastes;year
13971471;13971471;Château Pauque Sous la Roche Riesling 2014;Images_saved\img_25.jpg;2;Moselle;Luxembourg;Château Pauque;[['earth', 10, 1100], ['tree_fruit', 8, 1000], ['citrus_fruit', 6, 800], ['oak', 5, 357], ['tropical_fruit', 4, 400], ['microbio', 4, 266], ['spices', 2, 151], ['non_oak', 2, 26], ['floral', 1, 100]];2014
159909639;159909639;Château Pauque Riesling Paradäis 2018;Images_saved\img_26.jpg;2;Moselle;Luxembourg;Château Pauque;[['citrus_fruit', 1, 100], ['earth', 1, 100]];2018
2485297;2485297;Bernard-Massard Cuvée de l'Écusson Brut;Images_saved\img_27.jpg;3;Moselle;Luxembourg;Bernard-Massard;[['tree_fruit', 141, 21100], ['citrus_fruit', 100, 11500], ['microbio', 86, 7527], ['earth', 69, 7696], ['non_oak', 61, 3955], ['oak', 57, 3770], ['vegetal', 17, 1170], ['red_fruit', 13, 1500], ['spices', 10, 282], ['tropical_fruit', 7, 700], ['floral', 4, 600], ['black_fruit', 1, 100]];N.V.
142285398;142285398;Château Pauque Sous la Roche Riesling 2016;Images_saved\img_28.jpg;2;Moselle;Luxembourg;Château Pauque;[['earth', 10, 1100], ['tree_fruit', 8, 1000], ['citrus_fruit', 6, 800], ['oak', 5, 357], ['tropical_fruit', 4, 400], ['microbio', 4, 266], ['spices', 2, 151], ['non_oak', 2, 26], ['floral', 1, 100]];2016
2860113;2860113;Bernard-Massard Sélection Brut;Images_saved\img_29.jpg;3;Luxembourg;Luxembourg;Bernard-Massard;[['tree_fruit', 41, 5500], ['microbio', 31, 2761], ['citrus_fruit', 31, 3900], ['non_oak', 14, 751], ['oak', 10, 701], ['earth', 8, 718], ['vegetal', 5, 430], ['red_fruit', 5, 600], ['tropical_fruit', 4, 333], ['spices', 1, 6]];N.V.
158958145;158958145;Claude Bentz Bech-Mâcher Gottesgof Riesling 2017;Images_saved\img_30.jpg;2;Moselle;Luxembourg;Claude Bentz;[['tree_fruit', 8, 1900], ['citrus_fruit', 6, 800], ['earth', 6, 700], ['microbio', 5, 633], ['vegetal', 4, 400], ['oak', 4, 217], ['non_oak', 3, 150]];2017
161813290;161813290;Madame Aly Duhr & Fils Barrique Pinot Noir 2018;Images_saved\img_31.jpg;1;Moselle;Luxembourg;Madame Aly Duhr & Fils;;2018
27504357;27504357;Domaines Vinsmoselle Auxerrois 2014;Images_saved\img_32.jpg;2;Moselle;Luxembourg;Domaines Vinsmoselle;[['tree_fruit', 9, 1100], ['microbio', 4, 310], ['earth', 4, 520], ['tropical_fruit', 2, 300], ['citrus_fruit', 2, 200], ['vegetal', 1, 10], ['black_fruit', 1, 100], ['non_oak', 1, 50], ['oak', 1, 10]];2014
154280707;154280707;Claude Bentz Bech-Mâcher Gottesgof Riesling 2016;Images_saved\img_33.jpg;2;Moselle;Luxembourg;Claude Bentz;[['tree_fruit', 8, 1900], ['citrus_fruit', 6, 800], ['earth', 6, 700], ['microbio', 5, 633], ['vegetal', 4, 400], ['oak', 4, 217], ['non_oak', 3, 150]];2016
3084750;3084750;Domaine Henri Ruppert Esprit de Schengen;Images_saved\img_34.jpg;3;Crémant de Luxembourg;Luxembourg;Domaine Henri Ruppert;[['tree_fruit', 6, 1000], ['citrus_fruit', 4, 400], ['earth', 3, 220], ['red_fruit', 2, 200], ['non_oak', 2, 167], ['oak', 2, 60], ['floral', 1, 100], ['vegetal', 1, 10], ['microbio', 1, 43]];N.V.
1269006;1269006;Poll Fabaire Cult Brut 2008;Images_saved\img_35.jpg;3;Crémant de Luxembourg;Luxembourg;Poll Fabaire;[['microbio', 4, 181], ['tree_fruit', 3, 300], ['citrus_fruit', 3, 600], ['oak', 3, 319], ['non_oak', 2, 200]];2008
25442475;25442475;Domaines Vinsmoselle Lëtzebuerger Musel Pinot Gris Premier Cru 2014;Images_saved\img_36.jpg;2;Moselle;Luxembourg;Domaines Vinsmoselle;[['tree_fruit', 7, 1100], ['citrus_fruit', 4, 400], ['earth', 3, 300], ['tropical_fruit', 3, 400], ['red_fruit', 2, 200], ['microbio', 2, 66], ['non_oak', 2, 76], ['oak', 2, 252], ['dried_fruit', 1, 100], ['spices', 1, 6], ['floral', 1, 100]];2014
145995804;145995804;Desom Crémant de Luxembourg Brut Millésimie 2016;Images_saved\img_37.jpg;3;Crémant de Luxembourg;Luxembourg;Desom;[['microbio', 11, 1066], ['tree_fruit', 7, 700], ['non_oak', 5, 384], ['citrus_fruit', 2, 200], ['earth', 2, 300], ['oak', 2, 150], ['vegetal', 1, 100], ['tropical_fruit', 1, 100]];2016
147931129;147931129;Domaine Clos des Rochers Grevenmacher Fels Riesling Grand Permier Cru 2014;Images_saved\img_38.jpg;2;Moselle;Luxembourg;Domaine Clos des Rochers;[['citrus_fruit', 12, 1400], ['tropical_fruit', 10, 1400], ['earth', 10, 1370], ['tree_fruit', 7, 700], ['floral', 4, 500], ['spices', 3, 430], ['vegetal', 2, 200], ['dried_fruit', 1, 100], ['oak', 1, 100]];2014
34027278;34027278;Coteaux de Schengen Riesling 2014;Images_saved\img_39.jpg;2;Coteaux de Schengen;Luxembourg;Coteaux de Schengen;[['tree_fruit', 3, 500], ['citrus_fruit', 3, 400], ['earth', 3, 400], ['microbio', 3, 166], ['oak', 2, 234], ['vegetal', 1, 100], ['dried_fruit', 1, 100]];2014
28018334;28018334;Domaine Clos des Rochers Wormeldange Nussbaum Pinot Gris Grand Premier Cru 2014;Images_saved\img_40.jpg;2;Moselle;Luxembourg;Domaine Clos des Rochers;[['citrus_fruit', 7, 700], ['tree_fruit', 5, 700], ['earth', 3, 400], ['spices', 2, 200], ['tropical_fruit', 1, 100], ['floral', 1, 100], ['red_fruit', 1, 100]];2014
1381315;1381315;Domaines Vinsmoselle Sixty Six Rouge 2008;Images_saved\img_41.jpg;1;Moselle;Luxembourg;Domaines Vinsmoselle;[['microbio', 1, 100]];2008
142049679;142049679;Domaines Vinsmoselle Lëtzebuerger Musel Rivaner 2015;Images_saved\img_42.jpg;2;Côtes de Grevenmacher;Luxembourg;Domaines Vinsmoselle;[['citrus_fruit', 8, 900], ['tree_fruit', 6, 900], ['tropical_fruit', 2, 200], ['earth', 2, 200]];2015
14448945;14448945;Château Pauque Clos du Paradis 2010;Images_saved\img_43.jpg;2;Moselle;Luxembourg;Château Pauque;[['oak', 21, 3378], ['microbio', 18, 1076], ['non_oak', 16, 709], ['tree_fruit', 15, 2100], ['spices', 12, 211], ['citrus_fruit', 10, 1325], ['earth', 10, 971], ['vegetal', 6, 330], ['floral', 3, 300], ['tropical_fruit', 2, 200], ['red_fruit', 1, 100], ['dried_fruit', 1, 100], ['black_fruit', 1, 100]];2010
1582619;1582619;Domaine Clos des Rochers Crémant de Luxembourg Brut 2007;Images_saved\img_44.jpg;3;Crémant de Luxembourg;Luxembourg;Domaine Clos des Rochers;[['tree_fruit', 14, 2200], ['citrus_fruit', 8, 1000], ['microbio', 6, 533], ['non_oak', 4, 367], ['vegetal', 3, 300], ['earth', 2, 300], ['tropical_fruit', 2, 200], ['oak', 2, 100], ['floral', 1, 100]];2007
151095385;151095385;Domaine Clos des Rochers Grevenmacher Fels Auxerrois Grand Premier Cru 2016;Images_saved\img_45.jpg;2;Moselle;Luxembourg;Domaine Clos des Rochers;[['earth', 8, 1258], ['tree_fruit', 7, 1000], ['citrus_fruit', 2, 300], ['vegetal', 2, 200], ['microbio', 2, 300], ['red_fruit', 1, 100], ['non_oak', 1, 7], ['oak', 1, 35]];2016
141366839;141366839;Caves St Martin De Nos Rochers Pinot Noir Rouge 2015;Images_saved\img_46.jpg;1;Moselle;Luxembourg;Caves St Martin;[['red_fruit', 8, 1416], ['earth', 3, 253], ['microbio', 3, 175], ['oak', 2, 143], ['non_oak', 2, 23], ['spices', 1, 6], ['vegetal', 1, 100], ['black_fruit', 1, 68], ['dried_fruit', 1, 16], ['citrus_fruit', 1, 100]];2015
5646108;5646108;Caves St Martin De Nos Rochers Pinot Blanc Grand Premier Cru 2013;Images_saved\img_47.jpg;2;Moselle;Luxembourg;Caves St Martin;[['citrus_fruit', 1, 100], ['earth', 1, 100]];2013
2172153;2172153;Domaine Viticole Kohll-Leuck Wousselt Riesling 2011;Images_saved\img_48.jpg;2;Moselle;Luxembourg;Domaine Viticole Kohll-Leuck;[['citrus_fruit', 6, 700], ['tree_fruit', 5, 600], ['earth', 2, 200], ['tropical_fruit', 1, 100], ['spices', 1, 6], ['vegetal', 1, 100], ['microbio', 1, 100], ['non_oak', 1, 9], ['oak', 1, 185]];2011
4649634;4649634;Domaines Vinsmoselle Riesling 2011;Images_saved\img_49.jpg;2;Côtes de Remich;Luxembourg;Domaines Vinsmoselle;[['tree_fruit', 14, 1700], ['citrus_fruit', 12, 1400], ['earth', 10, 1100], ['microbio', 3, 233], ['vegetal', 2, 200], ['spices', 1, 100], ['floral', 1, 100], ['tropical_fruit', 1, 100], ['oak', 1, 67]];2011
7595295;7595295;Domaines Vinsmoselle Riesling 2012;Images_saved\img_50.jpg;2;Côtes de Remich;Luxembourg;Domaines Vinsmoselle;[['tree_fruit', 14, 1700], ['citrus_fruit', 12, 1400], ['earth', 10, 1100], ['microbio', 3, 233], ['vegetal', 2, 200], ['spices', 1, 100], ['floral', 1, 100], ['tropical_fruit', 1, 100], ['oak', 1, 67]];2012
158722009;158722009;Domaines Vinsmoselle Bech-Kleinmacher Enschberg Pinot Blanc 2018;Images_saved\img_51.jpg;2;Moselle;Luxembourg;Domaines Vinsmoselle;[['tree_fruit', 5, 600], ['oak', 3, 270], ['citrus_fruit', 2, 200], ['spices', 2, 12], ['non_oak', 2, 18], ['earth', 1, 100]];2018
153222790;153222790;Domaines Vinsmoselle Schengen Markusberg Gewürztraminer Grand Premier Cru 2016;Images_saved\img_52.jpg;2;Moselle;Luxembourg;Domaines Vinsmoselle;;2016
7650729;7650729;Domaines Vinsmoselle Pinot 2013;Images_saved\img_53.jpg;2;Luxembourg;Luxembourg;Domaines Vinsmoselle;[['earth', 14, 1400], ['tree_fruit', 11, 1400], ['citrus_fruit', 6, 700], ['oak', 3, 202], ['microbio', 3, 300], ['non_oak', 3, 159], ['tropical_fruit', 2, 133], ['spices', 2, 106], ['floral', 1, 200], ['vegetal', 1, 100]];2013
153214678;153214678;Schmit-Fohl Ahn Goellebour Pinot Noir 2016;Images_saved\img_54.jpg;1;Moselle;Luxembourg;Schmit-Fohl;[['red_fruit', 5, 900], ['oak', 5, 382], ['spices', 5, 318], ['earth', 4, 278], ['non_oak', 4, 169], ['microbio', 3, 143], ['black_fruit', 2, 300], ['vegetal', 1, 10], ['tree_fruit', 1, 100], ['citrus_fruit', 1, 200]];2016
10307314;10307314;Bernard-Massard Pinot Blanc Grand Premier Cru 2013;Images_saved\img_55.jpg;2;Côtes de Grevenmacher;Luxembourg;Bernard-Massard;[['tree_fruit', 15, 2800], ['citrus_fruit', 10, 1200], ['earth', 5, 700], ['tropical_fruit', 4, 400], ['vegetal', 2, 200], ['microbio', 2, 200], ['spices', 1, 100]];2013
4220524;4220524;Château de Schengen Auxerrois 2012;Images_saved\img_56.jpg;2;Luxembourg;Luxembourg;Château de Schengen;[['tree_fruit', 6, 800], ['citrus_fruit', 5, 600], ['tropical_fruit', 3, 300], ['earth', 2, 200], ['red_fruit', 1, 100], ['vegetal', 1, 100], ['oak', 1, 100]];2012
148334462;148334462;Madame Aly Duhr & Fils Barrique Pinot Noir 2016;Images_saved\img_57.jpg;1;Moselle;Luxembourg;Madame Aly Duhr & Fils;[['red_fruit', 5, 726], ['spices', 5, 606], ['oak', 5, 989], ['black_fruit', 4, 474], ['earth', 3, 454], ['non_oak', 2, 51]];2016
5775651;5775651;Bernard-Massard Crémant de Luxembourg Millésimé Brut 2011;Images_saved\img_58.jpg;3;Crémant de Luxembourg;Luxembourg;Bernard-Massard;[['citrus_fruit', 35, 4800], ['tree_fruit', 28, 4000], ['microbio', 21, 2514], ['earth', 13, 1508], ['non_oak', 12, 1152], ['oak', 8, 614], ['tropical_fruit', 5, 500], ['vegetal', 3, 300], ['red_fruit', 3, 400], ['spices', 2, 12], ['black_fruit', 1, 100]];2011
152660782;152660782;Domaines Vinsmoselle Auxerrois 2016;Images_saved\img_59.jpg;2;Moselle;Luxembourg;Domaines Vinsmoselle;[['tree_fruit', 9, 1100], ['microbio', 4, 310], ['earth', 4, 520], ['tropical_fruit', 2, 300], ['citrus_fruit', 2, 200], ['vegetal', 1, 10], ['black_fruit', 1, 100], ['non_oak', 1, 50], ['oak', 1, 10]];2016
154544349;154544349;Château de Schengen Auxerrois 2017;Images_saved\img_60.jpg;2;Luxembourg;Luxembourg;Château de Schengen;[['tree_fruit', 6, 800], ['citrus_fruit', 5, 600], ['tropical_fruit', 3, 300], ['earth', 2, 200], ['red_fruit', 1, 100], ['vegetal', 1, 100], ['oak', 1, 100]];2017
22104967;22104967;Domaine Clos des Rochers Domaine & Tradition Pinot Gris 2014;Images_saved\img_61.jpg;2;Moselle;Luxembourg;Domaine Clos des Rochers;[['tree_fruit', 2, 200], ['earth', 2, 200], ['microbio', 1, 100]];2014
157690168;157690168;Domaines Vinsmoselle Auxerrois 2017;Images_saved\img_62.jpg;2;Moselle;Luxembourg;Domaines Vinsmoselle;[['tree_fruit', 9, 1100], ['microbio', 4, 310], ['earth', 4, 520], ['tropical_fruit', 2, 300], ['citrus_fruit', 2, 200], ['vegetal', 1, 10], ['black_fruit', 1, 100], ['non_oak', 1, 50], ['oak', 1, 10]];2017
157325727;157325727;Domaine Thill Riesling Grand Premier Cru 2017;Images_saved\img_63.jpg;2;Coteaux de Schengen;Luxembourg;Domaine Thill;;2017
160864685;160864685;Bernard-Massard Pinot Gris Grand Premier Cru 2018;Images_saved\img_64.jpg;2;Côtes de Grevenmacher;Luxembourg;Bernard-Massard;[['tree_fruit', 9, 1500], ['citrus_fruit', 6, 900], ['microbio', 3, 233], ['vegetal', 2, 200], ['earth', 2, 200], ['non_oak', 2, 167], ['spices', 1, 100]];2018
2645288;2645288;Bernard-Massard Cuvée de l'Écusson Brut 2011;Images_saved\img_65.jpg;3;Moselle;Luxembourg;Bernard-Massard;[['tree_fruit', 141, 21100], ['citrus_fruit', 100, 11500], ['microbio', 86, 7527], ['earth', 69, 7696], ['non_oak', 61, 3955], ['oak', 57, 3770], ['vegetal', 17, 1170], ['red_fruit', 13, 1500], ['spices', 10, 282], ['tropical_fruit', 7, 700], ['floral', 4, 600], ['black_fruit', 1, 100]];2011
2500662;2500662;Gales Rivaner 2012;Images_saved\img_66.jpg;2;Côtes de Remich;Luxembourg;Gales;[['tree_fruit', 8, 1200], ['citrus_fruit', 7, 700], ['vegetal', 5, 600], ['earth', 5, 500], ['tropical_fruit', 3, 333], ['spices', 1, 6], ['microbio', 1, 67], ['non_oak', 1, 9], ['oak', 1, 85]];2012
152195685;152195685;Domaines Vinsmoselle Lëtzebuerger Musel Pinot Gris 2016;Images_saved\img_67.jpg;2;Côtes de Remich;Luxembourg;Domaines Vinsmoselle;[['citrus_fruit', 5, 500], ['tree_fruit', 3, 500], ['microbio', 3, 300], ['tropical_fruit', 1, 100], ['earth', 1, 300]];2016
145191921;145191921;Domaines Vinsmoselle Marquis de Sallanges 2016;Images_saved\img_68.jpg;3;Moselle;Luxembourg;Domaines Vinsmoselle;[['tree_fruit', 1, 100]];2016
14412852;14412852;Château de Schengen Cuvée Victor Hugo Riesling Brut 2015;Images_saved\img_69.jpg;3;Crémant de Luxembourg;Luxembourg;Château de Schengen;[['tree_fruit', 4, 400], ['microbio', 3, 300], ['citrus_fruit', 2, 200], ['non_oak', 2, 100], ['oak', 2, 175], ['spices', 1, 25], ['floral', 1, 100], ['earth', 1, 100]];2015
6043361;6043361;Domaines Vinsmoselle Lëtzebuerger Musel Pinot Gris Premier Cru 2012;Images_saved\img_70.jpg;2;Moselle;Luxembourg;Domaines Vinsmoselle;[['tree_fruit', 7, 1100], ['citrus_fruit', 4, 400], ['earth', 3, 300], ['tropical_fruit', 3, 400], ['red_fruit', 2, 200], ['microbio', 2, 66], ['non_oak', 2, 76], ['oak', 2, 252], ['dried_fruit', 1, 100], ['spices', 1, 6], ['floral', 1, 100]];2012
143813275;143813275;Krier Frères Riesling Remich Primerberg Grand Premier Cru 2015;Images_saved\img_71.jpg;2;Moselle;Luxembourg;Krier Frères;[['tree_fruit', 6, 800], ['citrus_fruit', 3, 400], ['vegetal', 2, 200], ['earth', 2, 300], ['black_fruit', 1, 100], ['microbio', 1, 100]];2015
8710995;8710995;Gales Private Cuvée Blanc de Blancs Brut 2014;Images_saved\img_72.jpg;3;Moselle;Luxembourg;Gales;[['tree_fruit', 18, 2700], ['citrus_fruit', 12, 1300], ['non_oak', 11, 732], ['microbio', 7, 732], ['oak', 6, 436], ['vegetal', 3, 300], ['red_fruit', 2, 300], ['dried_fruit', 1, 100], ['earth', 1, 100], ['tropical_fruit', 1, 100]];2014
153107583;153107583;Mathis Bastian Wellenstein Foulschette Pinot Noir 2016;Images_saved\img_73.jpg;1;Moselle;Luxembourg;Mathis Bastian;[['red_fruit', 7, 900], ['tree_fruit', 3, 400], ['spices', 3, 300], ['black_fruit', 2, 22], ['dried_fruit', 2, 378], ['earth', 2, 200], ['floral', 1, 100], ['microbio', 1, 100]];2016
21255403;21255403;Clos des Eglantiers Rivaner 2014;Images_saved\img_74.jpg;2;Luxembourg;Luxembourg;Clos des Eglantiers;[['citrus_fruit', 10, 1400], ['tree_fruit', 9, 1300], ['tropical_fruit', 5, 500], ['earth', 4, 400], ['floral', 1, 100], ['vegetal', 1, 100], ['microbio', 1, 100], ['non_oak', 1, 100]];2014
17195533;17195533;Domaines Vinsmoselle Vieilles Vignes Riesling Grand Premier Cru 2014;Images_saved\img_75.jpg;2;Moselle;Luxembourg;Domaines Vinsmoselle;[['earth', 6, 620], ['tree_fruit', 5, 800], ['citrus_fruit', 5, 500], ['spices', 3, 218], ['non_oak', 3, 73], ['oak', 3, 169], ['tropical_fruit', 2, 300], ['floral', 1, 100], ['vegetal', 1, 10], ['microbio', 1, 10]];2014
31275391;31275391;Desom Crémant de Luxembourg Brut Millésimie 2014;Images_saved\img_76.jpg;3;Crémant de Luxembourg;Luxembourg;Desom;[['microbio', 11, 1066], ['tree_fruit', 7, 700], ['non_oak', 5, 384], ['citrus_fruit', 2, 200], ['earth', 2, 300], ['oak', 2, 150], ['vegetal', 1, 100], ['tropical_fruit', 1, 100]];2014
152771982;152771982;Cep d'Or Stadtbredimus Primerberg Pinot Gris 2017;Images_saved\img_77.jpg;2;Moselle;Luxembourg;Cep d'Or;[['citrus_fruit', 4, 500], ['tree_fruit', 3, 500], ['microbio', 1, 100]];2017
18566304;18566304;Domaines Vinsmoselle Lëtzebuerger Musel Rivaner 2014;Images_saved\img_78.jpg;2;Côtes de Grevenmacher;Luxembourg;Domaines Vinsmoselle;[['citrus_fruit', 8, 900], ['tree_fruit', 6, 900], ['tropical_fruit', 2, 200], ['earth', 2, 200]];2014
1582616;1582616;Domaine Clos des Rochers Crémant de Luxembourg Brut 2008;Images_saved\img_79.jpg;3;Crémant de Luxembourg;Luxembourg;Domaine Clos des Rochers;[['tree_fruit', 14, 2200], ['citrus_fruit', 8, 1000], ['microbio', 6, 533], ['non_oak', 4, 367], ['vegetal', 3, 300], ['earth', 2, 300], ['tropical_fruit', 2, 200], ['oak', 2, 100], ['floral', 1, 100]];2008
154539690;154539690;Domaines Vinsmoselle Machtum Göllebour Gewürztraminer Grand Premier Cru 2017;Images_saved\img_80.jpg;2;Moselle;Luxembourg;Domaines Vinsmoselle;[['tree_fruit', 7, 800], ['citrus_fruit', 5, 600], ['earth', 4, 400], ['spices', 4, 350], ['floral', 3, 500], ['tropical_fruit', 3, 500], ['oak', 3, 200], ['microbio', 2, 200], ['black_fruit', 1, 100], ['red_fruit', 1, 100], ['non_oak', 1, 50]];2017
8448758;8448758;Domaines Vinsmoselle Lëtzebuerger Musel Pinot Blanc Premier Cru 2012;Images_saved\img_81.jpg;2;Moselle;Luxembourg;Domaines Vinsmoselle;[['tree_fruit', 1, 200], ['floral', 1, 100], ['microbio', 1, 100]];2012
152880610;152880610;Domaines Vinsmoselle Pinot Gris 2016;Images_saved\img_82.jpg;2;Côtes de Remich;Luxembourg;Domaines Vinsmoselle;[['tree_fruit', 8, 1000], ['citrus_fruit', 5, 600], ['earth', 5, 600], ['tropical_fruit', 1, 100], ['floral', 1, 100]];2016
145220011;145220011;Château de Schengen Pinot Blanc 2016;Images_saved\img_83.jpg;2;Luxembourg;Luxembourg;Château de Schengen;[['earth', 8, 865], ['tree_fruit', 7, 900], ['vegetal', 4, 220], ['microbio', 4, 187], ['citrus_fruit', 3, 300], ['tropical_fruit', 2, 233], ['non_oak', 2, 150], ['oak', 2, 45]];2016
107115897;107115897;Château de Schengen Pinot Blanc 2014;Images_saved\img_84.jpg;2;Luxembourg;Luxembourg;Château de Schengen;[['earth', 8, 865], ['tree_fruit', 7, 900], ['vegetal', 4, 220], ['microbio', 4, 187], ['citrus_fruit', 3, 300], ['tropical_fruit', 2, 233], ['non_oak', 2, 150], ['oak', 2, 45]];2014
20700739;20700739;Caves St Martin De Nos Rochers Pinot Blanc Grand Premier Cru 2014;Images_saved\img_85.jpg;2;Moselle;Luxembourg;Caves St Martin;[['citrus_fruit', 1, 100], ['earth', 1, 100]];2014
151338521;151338521;Desom Pinot Noir 2016;Images_saved\img_86.jpg;1;Côtes de Remich;Luxembourg;Desom;[['oak', 8, 974], ['black_fruit', 6, 923], ['spices', 6, 224], ['red_fruit', 5, 345], ['non_oak', 4, 36], ['microbio', 3, 166], ['tree_fruit', 2, 300], ['dried_fruit', 2, 32], ['floral', 1, 100]];2016
148015564;148015564;Bernard-Massard Auxerrois Grand Premier Cru 2016;Images_saved\img_87.jpg;2;Côtes de Grevenmacher;Luxembourg;Bernard-Massard;[['tree_fruit', 15, 2700], ['citrus_fruit', 12, 1400], ['earth', 6, 700], ['microbio', 4, 166], ['oak', 4, 301], ['vegetal', 4, 500], ['red_fruit', 1, 100], ['tropical_fruit', 1, 33]];2016
7456990;7456990;Bernard-Massard Auxerrois Grand Premier Cru 2013;Images_saved\img_88.jpg;2;Côtes de Grevenmacher;Luxembourg;Bernard-Massard;[['tree_fruit', 15, 2700], ['citrus_fruit', 12, 1400], ['earth', 6, 700], ['microbio', 4, 166], ['oak', 4, 301], ['vegetal', 4, 500], ['red_fruit', 1, 100], ['tropical_fruit', 1, 33]];2013
143042288;143042288;Domaine Alice Hartmann La Chapelle Wormeldange Koeppchen Riesling 2016;Images_saved\img_89.jpg;2;Moselle;Luxembourg;Domaine Alice Hartmann;[['citrus_fruit', 4, 600], ['microbio', 4, 350], ['earth', 3, 250], ['tropical_fruit', 2, 200], ['tree_fruit', 2, 200], ['oak', 1, 100]];2016
3259931;3259931;Bernard-Massard Sélection Brut 2008;Images_saved\img_90.jpg;3;Luxembourg;Luxembourg;Bernard-Massard;[['tree_fruit', 41, 5500], ['microbio', 31, 2761], ['citrus_fruit', 31, 3900], ['non_oak', 14, 751], ['oak', 10, 701], ['earth', 8, 718], ['vegetal', 5, 430], ['red_fruit', 5, 600], ['tropical_fruit', 4, 333], ['spices', 1, 6]];2008
145222632;145222632;Domaines Vinsmoselle Schengen Markusberg Gewürztraminer Grand Premier Cru 2015;Images_saved\img_91.jpg;2;Moselle;Luxembourg;Domaines Vinsmoselle;;2015
